event_id,registration_number,camera_id,location,timestamp,detected_vehicle_type,detected_colour,ocr_confidence,event_type
ANPR-000001,WB06J2192,CAM-MAD-01,Madurai,2026-09-22T09:44:00,Bike,Grey,0.936,NORMAL
ANPR-000002,TR01BG0365,CAM-CHE-04,Chennai,2026-09-22T09:06:00,Bike,White,0.954,NORMAL
ANPR-000003,AS01AM1419,CAM-CHE-02,Chennai,2026-09-22T16:47:00,Truck,White,0.897,NORMAL
ANPR-000004,HP40B8992,CAM-VEL-02,Vellore,2026-09-22T17:13:00,Car,Black,0.923,NORMAL
ANPR-000005,PB02CC7299,CAM-TRI-01,Trichy,2026-09-22T13:18:00,Car,White,0.923,NORMAL
ANPR-000006,MH12HN4507,CAM-VEL-01,Vellore,2026-09-22T09:57:00,Truck,Yellow,0.925,NORMAL
ANPR-000007,PB30L5010,CAM-COI-03,Coimbatore,2026-09-22T09:11:00,Truck,White,0.911,NORMAL
ANPR-000008,TS08FQ1262,CAM-SAL-01,Salem,2026-09-22T10:39:00,Car,Silver,0.9,NORMAL
ANPR-000009,TS36H6578,CAM-CHE-02,Chennai,2026-09-22T18:40:00,Bike,White,0.896,NORMAL
ANPR-000010,ML08C8061,CAM-COI-03,Coimbatore,2026-09-22T08:23:00,Bike,Yellow,0.891,NORMAL
ANPR-000011,TS18T3899,CAM-MAD-01,Madurai,2026-09-22T13:58:00,Bike,Black,0.886,NORMAL
ANPR-000012,ML05C5389,CAM-MAD-01,Madurai,2026-09-22T12:25:00,Bike,Yellow,0.97,NORMAL
ANPR-000013,HP3SG1539,CAM-MAD-02,Madurai,2026-09-22T08:09:00,Mini Truck,Black,0.945,NORMAL
ANPR-000014,ML05F9854,CAM-COI-03,Coimbatore,2026-09-22T09:35:00,Bus,Grey,0.898,NORMAL
ANPR-000015,AR01J0123,CAM-THA-01,Thanjavur,2026-09-22T08:33:00,Truck,Yellow,0.884,NORMAL
ANPR-000016,BR01AW1250,CAM-CHE-01,Chennai,2026-09-22T14:03:00,Truck,Grey,0.985,NORMAL
ANPR-000017,PB04S4253,CAM-SAL-03,Salem,2026-09-22T12:34:00,Truck,Silver,0.918,NORMAL
ANPR-000018,JK02BF5058,CAM-THA-01,Thanjavur,2026-09-22T19:35:00,Truck,White,0.884,NORMAL
ANPR-000019,PB04T0678,CAM-CHE-02,Chennai,2026-09-22T12:31:00,Truck,Yellow,0.929,NORMAL
ANPR-000020,ML05Q8790,CAM-VEL-04,Vellore,2026-09-22T15:14:00,Bike,Black,0.922,NORMAL
ANPR-000021,BR02AF7424,CAM-MAD-01,Madurai,2026-09-22T13:55:00,Car,Black,0.97,NORMAL
ANPR-000022,CG08K2057,CAM-TIR-04,Tirunelveli,2026-09-22T15:40:00,Truck,Black,0.987,NORMAL
ANPR-000023,AR169723,CAM-THA-03,Thanjavur,2026-09-22T17:24:00,Truck,White,0.91,NORMAL
ANPR-000024,KL41M93,CAM-TIR-01,Tirunelveli,2026-09-22T08:35:00,Car,Silver,0.905,NORMAL
ANPR-000025,DL12CL2555,CAM-MAD-04,Madurai,2026-09-22T11:53:00,Mini Truck,Yellow,0.963,NORMAL
ANPR-000026,JH01AR2011,CAM-CHE-03,Chennai,2026-09-22T14:29:00,Truck,Red,0.905,NORMAL
ANPR-000027,PY01CM9549,CAM-THA-03,Thanjavur,2026-09-22T19:57:00,Truck,Silver,0.977,NORMAL
ANPR-000028,DL4CAQ3231,CAM-SAL-04,Salem,2026-09-22T10:13:00,Bike,Black,0.914,NORMAL
ANPR-000029,JH08C0625,CAM-TRI-04,Trichy,2026-09-22T17:21:00,Truck,Yellow,0.956,NORMAL
ANPR-000030,CG251612,CAM-TRI-04,Trichy,2026-09-22T10:47:00,Mini Truck,Silver,0.95,NORMAL
ANPR-000031,PY01CV2447,CAM-SAL-03,Salem,2026-09-22T14:09:00,Mini Truck,Grey,0.958,NORMAL
ANPR-000032,CG07CA7784,CAM-COI-03,Coimbatore,2026-09-22T19:37:00,Bike,White,0.949,NORMAL
ANPR-000033,OR21E1033,CAM-TIR-03,Tirunelveli,2026-09-22T13:52:00,Bike,Yellow,0.969,NORMAL
ANPR-000034,AP310U7562,CAM-THA-03,Thanjavur,2026-09-22T12:33:00,Truck,Red,0.921,NORMAL
ANPR-000035,TN63BV7954,CAM-SAL-02,Salem,2026-09-22T15:41:00,Bike,Black,0.937,NORMAL
ANPR-000036,JK02BL1212,CAM-COI-01,Coimbatore,2026-09-22T14:44:00,Car,Yellow,0.929,NORMAL
ANPR-000037,TR01N0481,CAM-COI-04,Coimbatore,2026-09-22T17:10:00,Mini Truck,Blue,0.961,NORMAL
ANPR-000038,DL6CJ8404,CAM-TIR-04,Tirunelveli,2026-09-22T10:07:00,Truck,Black,0.883,NORMAL
ANPR-000039,CH01BQ5604,CAM-COI-03,Coimbatore,2026-09-22T13:03:00,Truck,Silver,0.915,NORMAL
ANPR-000040,AP39GR3492,CAM-COI-01,Coimbatore,2026-09-22T08:28:00,Mini Truck,Yellow,0.932,NORMAL
ANPR-000041,MN01G0297,CAM-COI-01,Coimbatore,2026-09-22T11:04:00,Truck,White,0.938,NORMAL
ANPR-000042,TR07D0569,CAM-TRI-03,Trichy,2026-09-22T16:17:00,Mini Truck,Red,0.884,NORMAL
ANPR-000043,HP12H7917,CAM-COI-04,Coimbatore,2026-09-22T11:48:00,Car,Yellow,0.903,NORMAL
ANPR-000044,UK06J3953,CAM-MAD-04,Madurai,2026-09-22T11:58:00,Mini Truck,Red,0.928,NORMAL
ANPR-000045,DN09J1548,CAM-TRI-02,Trichy,2026-09-22T15:20:00,Bike,Grey,0.97,NORMAL
ANPR-000046,JH10S5378,CAM-TIR-01,Tirunelveli,2026-09-22T13:03:00,Mini Truck,Grey,0.909,NORMAL
ANPR-000047,GJ18BK6705,CAM-SAL-01,Salem,2026-09-22T12:06:00,Truck,Silver,0.986,NORMAL
ANPR-000048,ML068346,CAM-MAD-02,Madurai,2026-09-22T10:32:00,Bus,Black,0.892,NORMAL
ANPR-000049,AS01AL3746,CAM-MAD-01,Madurai,2026-09-22T17:53:00,Truck,Silver,0.974,NORMAL
ANPR-000050,ML05F6894,CAM-MAD-04,Madurai,2026-09-22T19:26:00,Car,Silver,0.964,NORMAL
ANPR-000051,SK01PA4521,CAM-CHE-03,Chennai,2026-09-22T14:31:00,Car,White,0.981,NORMAL
ANPR-000052,UP14AF3804,CAM-COI-01,Coimbatore,2026-09-22T19:36:00,Car,Blue,0.988,NORMAL
ANPR-000053,UP11AY0646,CAM-VEL-01,Vellore,2026-09-22T14:03:00,Car,Yellow,0.971,NORMAL
