transaction_id,registration_number,fastag_id,toll_plaza,timestamp,transaction_status,amount,event_type
FT-TXN-000001,WB06J2192,FT-000001,Madurai Toll Plaza,2026-09-22T09:44:00,SUCCESS,141.66,NORMAL
FT-TXN-000002,TR01BG0365,FT-000002,Chennai Toll Plaza,2026-09-22T09:06:00,SUCCESS,194.2,NORMAL
FT-TXN-000003,AS01AM1419,FT-000003,Chennai Toll Plaza,2026-09-22T16:47:00,SUCCESS,138.43,NORMAL
FT-TXN-000004,HP40B8992,FT-000004,Vellore Toll Plaza,2026-09-22T17:13:00,SUCCESS,95.71,NORMAL
FT-TXN-000005,PB02CC7299,FT-000005,Trichy Toll Plaza,2026-09-22T13:18:00,SUCCESS,109.33,NORMAL
FT-TXN-000006,MH12HN4507,FT-000006,Vellore Toll Plaza,2026-09-22T09:57:00,SUCCESS,132.03,NORMAL
FT-TXN-000007,PB30L5010,FT-000007,Coimbatore Toll Plaza,2026-09-22T09:11:00,SUCCESS,179.56,NORMAL
FT-TXN-000008,TS08FQ1262,FT-000008,Salem Toll Plaza,2026-09-22T10:39:00,EXCEPTION,197.39,NORMAL
FT-TXN-000009,TS36H6578,FT-000009,Chennai Toll Plaza,2026-09-22T18:40:00,SUCCESS,79.01,NORMAL
FT-TXN-000010,ML08C8061,FT-000010,Coimbatore Toll Plaza,2026-09-22T08:23:00,EXCEPTION,140.8,NORMAL
FT-TXN-000011,TS18T3899,FT-000011,Madurai Toll Plaza,2026-09-22T13:58:00,SUCCESS,209.84,NORMAL
FT-TXN-000012,ML05C5389,FT-000012,Madurai Toll Plaza,2026-09-22T12:25:00,SUCCESS,182.19,NORMAL
FT-TXN-000013,HP3SG1539,FT-000013,Madurai Toll Plaza,2026-09-22T08:09:00,SUCCESS,134.46,NORMAL
FT-TXN-000014,ML05F9854,FT-000014,Coimbatore Toll Plaza,2026-09-22T09:35:00,SUCCESS,90.36,NORMAL
FT-TXN-000015,AR01J0123,FT-000015,Thanjavur Toll Plaza,2026-09-22T08:33:00,SUCCESS,212.76,NORMAL
FT-TXN-000016,BR01AW1250,FT-000016,Chennai Toll Plaza,2026-09-22T14:03:00,SUCCESS,175.96,NORMAL
FT-TXN-000017,PB04S4253,FT-000017,Salem Toll Plaza,2026-09-22T12:34:00,SUCCESS,51.22,NORMAL
FT-TXN-000018,JK02BF5058,FT-000018,Thanjavur Toll Plaza,2026-09-22T19:35:00,SUCCESS,189.53,NORMAL
FT-TXN-000019,PB04T0678,FT-000019,Chennai Toll Plaza,2026-09-22T12:31:00,SUCCESS,208.4,NORMAL
FT-TXN-000020,ML05Q8790,FT-000020,Vellore Toll Plaza,2026-09-22T15:14:00,SUCCESS,155.79,NORMAL
FT-TXN-000021,BR02AF7424,FT-000021,Madurai Toll Plaza,2026-09-22T13:55:00,SUCCESS,210.55,NORMAL
FT-TXN-000022,CG08K2057,FT-000022,Tirunelveli Toll Plaza,2026-09-22T15:40:00,SUCCESS,120.75,NORMAL
FT-TXN-000023,AR169723,FT-000023,Thanjavur Toll Plaza,2026-09-22T17:24:00,SUCCESS,105.68,NORMAL
FT-TXN-000024,KL41M93,FT-000024,Tirunelveli Toll Plaza,2026-09-22T08:35:00,SUCCESS,76.79,NORMAL
FT-TXN-000025,DL12CL2555,FT-000025,Madurai Toll Plaza,2026-09-22T11:53:00,SUCCESS,146.83,NORMAL
FT-TXN-000026,JH01AR2011,FT-000026,Chennai Toll Plaza,2026-09-22T14:29:00,SUCCESS,210.32,NORMAL
FT-TXN-000027,PY01CM9549,FT-000027,Thanjavur Toll Plaza,2026-09-22T19:57:00,SUCCESS,208.0,NORMAL
FT-TXN-000028,DL4CAQ3231,FT-000028,Salem Toll Plaza,2026-09-22T10:13:00,SUCCESS,177.29,NORMAL
FT-TXN-000029,JH08C0625,FT-000029,Trichy Toll Plaza,2026-09-22T17:21:00,SUCCESS,122.5,NORMAL
FT-TXN-000030,CG251612,FT-000030,Trichy Toll Plaza,2026-09-22T10:47:00,SUCCESS,63.27,NORMAL
FT-TXN-000031,PY01CV2447,FT-000031,Salem Toll Plaza,2026-09-22T14:09:00,SUCCESS,106.01,NORMAL
FT-TXN-000032,CG07CA7784,FT-000032,Coimbatore Toll Plaza,2026-09-22T19:37:00,SUCCESS,121.36,NORMAL
FT-TXN-000033,OR21E1033,FT-000033,Tirunelveli Toll Plaza,2026-09-22T13:52:00,SUCCESS,110.33,NORMAL
FT-TXN-000034,AP310U7562,FT-000034,Thanjavur Toll Plaza,2026-09-22T12:33:00,SUCCESS,183.22,NORMAL
FT-TXN-000035,TN63BV7954,FT-000035,Salem Toll Plaza,2026-09-22T15:41:00,SUCCESS,172.84,NORMAL
FT-TXN-000036,JK02BL1212,FT-000036,Coimbatore Toll Plaza,2026-09-22T14:44:00,SUCCESS,76.34,NORMAL
