movement_id,registration_number,from_location,to_location,departure_time,arrival_time,movement_status,scenario
MOV-000001,WB06J2192,ENTRY,Madurai,2026-09-22T09:14:00,2026-09-22T09:44:00,NORMAL,NORMAL
MOV-000002,TR01BG0365,ENTRY,Chennai,2026-09-22T08:36:00,2026-09-22T09:06:00,NORMAL,NORMAL
MOV-000003,AS01AM1419,ENTRY,Chennai,2026-09-22T16:17:00,2026-09-22T16:47:00,NORMAL,NORMAL
MOV-000004,HP40B8992,ENTRY,Vellore,2026-09-22T16:43:00,2026-09-22T17:13:00,NORMAL,NORMAL
MOV-000005,PB02CC7299,ENTRY,Trichy,2026-09-22T12:48:00,2026-09-22T13:18:00,NORMAL,NORMAL
MOV-000006,MH12HN4507,ENTRY,Vellore,2026-09-22T09:27:00,2026-09-22T09:57:00,NORMAL,NORMAL
MOV-000007,PB30L5010,ENTRY,Coimbatore,2026-09-22T08:41:00,2026-09-22T09:11:00,NORMAL,NORMAL
MOV-000008,TS08FQ1262,ENTRY,Salem,2026-09-22T10:09:00,2026-09-22T10:39:00,NORMAL,NORMAL
MOV-000009,TS36H6578,ENTRY,Chennai,2026-09-22T18:10:00,2026-09-22T18:40:00,NORMAL,NORMAL
MOV-000010,ML08C8061,ENTRY,Coimbatore,2026-09-22T07:53:00,2026-09-22T08:23:00,NORMAL,NORMAL
MOV-000011,TS18T3899,ENTRY,Madurai,2026-09-22T13:28:00,2026-09-22T13:58:00,NORMAL,NORMAL
MOV-000012,ML05C5389,ENTRY,Madurai,2026-09-22T11:55:00,2026-09-22T12:25:00,NORMAL,NORMAL
MOV-000013,HP3SG1539,ENTRY,Madurai,2026-09-22T07:39:00,2026-09-22T08:09:00,NORMAL,NORMAL
MOV-000014,ML05F9854,ENTRY,Coimbatore,2026-09-22T09:05:00,2026-09-22T09:35:00,NORMAL,NORMAL
MOV-000015,AR01J0123,ENTRY,Thanjavur,2026-09-22T08:03:00,2026-09-22T08:33:00,NORMAL,NORMAL
MOV-000016,BR01AW1250,ENTRY,Chennai,2026-09-22T13:33:00,2026-09-22T14:03:00,NORMAL,NORMAL
MOV-000017,PB04S4253,ENTRY,Salem,2026-09-22T12:04:00,2026-09-22T12:34:00,NORMAL,NORMAL
MOV-000018,JK02BF5058,ENTRY,Thanjavur,2026-09-22T19:05:00,2026-09-22T19:35:00,NORMAL,NORMAL
MOV-000019,PB04T0678,ENTRY,Chennai,2026-09-22T12:01:00,2026-09-22T12:31:00,NORMAL,NORMAL
MOV-000020,ML05Q8790,ENTRY,Vellore,2026-09-22T14:44:00,2026-09-22T15:14:00,NORMAL,NORMAL
MOV-000021,BR02AF7424,ENTRY,Madurai,2026-09-22T13:25:00,2026-09-22T13:55:00,NORMAL,NORMAL
MOV-000022,CG08K2057,ENTRY,Tirunelveli,2026-09-22T15:10:00,2026-09-22T15:40:00,NORMAL,NORMAL
MOV-000023,AR169723,ENTRY,Thanjavur,2026-09-22T16:54:00,2026-09-22T17:24:00,NORMAL,NORMAL
MOV-000024,KL41M93,ENTRY,Tirunelveli,2026-09-22T08:05:00,2026-09-22T08:35:00,NORMAL,NORMAL
MOV-000025,DL12CL2555,ENTRY,Madurai,2026-09-22T11:23:00,2026-09-22T11:53:00,NORMAL,NORMAL
MOV-000026,JH01AR2011,ENTRY,Chennai,2026-09-22T13:59:00,2026-09-22T14:29:00,NORMAL,NORMAL
MOV-000027,PY01CM9549,ENTRY,Thanjavur,2026-09-22T19:27:00,2026-09-22T19:57:00,NORMAL,NORMAL
MOV-000028,DL4CAQ3231,ENTRY,Salem,2026-09-22T09:43:00,2026-09-22T10:13:00,NORMAL,NORMAL
MOV-000029,JH08C0625,ENTRY,Trichy,2026-09-22T16:51:00,2026-09-22T17:21:00,NORMAL,NORMAL
MOV-000030,CG251612,ENTRY,Trichy,2026-09-22T10:17:00,2026-09-22T10:47:00,NORMAL,NORMAL
MOV-000031,PY01CV2447,ENTRY,Salem,2026-09-22T13:39:00,2026-09-22T14:09:00,NORMAL,NORMAL
MOV-000032,CG07CA7784,ENTRY,Coimbatore,2026-09-22T19:07:00,2026-09-22T19:37:00,NORMAL,NORMAL
MOV-000033,OR21E1033,ENTRY,Tirunelveli,2026-09-22T13:22:00,2026-09-22T13:52:00,NORMAL,NORMAL
MOV-000034,AP310U7562,ENTRY,Thanjavur,2026-09-22T12:03:00,2026-09-22T12:33:00,NORMAL,NORMAL
MOV-000035,TN63BV7954,ENTRY,Salem,2026-09-22T15:11:00,2026-09-22T15:41:00,NORMAL,NORMAL
MOV-000036,JK02BL1212,ENTRY,Coimbatore,2026-09-22T14:14:00,2026-09-22T14:44:00,NORMAL,NORMAL
MOV-000037,TR01N0481,ENTRY,Coimbatore,2026-09-22T16:40:00,2026-09-22T17:10:00,NORMAL,NORMAL
MOV-000038,DL6CJ8404,ENTRY,Tirunelveli,2026-09-22T09:37:00,2026-09-22T10:07:00,NORMAL,NORMAL
MOV-000039,CH01BQ5604,ENTRY,Coimbatore,2026-09-22T12:33:00,2026-09-22T13:03:00,NORMAL,NORMAL
MOV-000040,AP39GR3492,ENTRY,Coimbatore,2026-09-22T07:58:00,2026-09-22T08:28:00,NORMAL,NORMAL
MOV-000041,MN01G0297,ENTRY,Coimbatore,2026-09-22T10:34:00,2026-09-22T11:04:00,NORMAL,NORMAL
MOV-000042,TR07D0569,ENTRY,Trichy,2026-09-22T15:47:00,2026-09-22T16:17:00,NORMAL,NORMAL
MOV-000043,HP12H7917,ENTRY,Coimbatore,2026-09-22T11:18:00,2026-09-22T11:48:00,NORMAL,NORMAL
MOV-000044,UK06J3953,ENTRY,Madurai,2026-09-22T11:28:00,2026-09-22T11:58:00,NORMAL,NORMAL
MOV-000045,DN09J1548,ENTRY,Trichy,2026-09-22T14:50:00,2026-09-22T15:20:00,NORMAL,NORMAL
MOV-000046,JH10S5378,ENTRY,Tirunelveli,2026-09-22T12:33:00,2026-09-22T13:03:00,NORMAL,NORMAL
MOV-000047,GJ18BK6705,ENTRY,Salem,2026-09-22T11:36:00,2026-09-22T12:06:00,NORMAL,NORMAL
MOV-000048,ML068346,ENTRY,Madurai,2026-09-22T10:02:00,2026-09-22T10:32:00,NORMAL,NORMAL
MOV-000049,AS01AL3746,ENTRY,Madurai,2026-09-22T17:23:00,2026-09-22T17:53:00,NORMAL,NORMAL
MOV-000050,ML05F6894,ENTRY,Madurai,2026-09-22T18:56:00,2026-09-22T19:26:00,NORMAL,NORMAL
MOV-000051,SK01PA4521,ENTRY,Chennai,2026-09-22T14:01:00,2026-09-22T14:31:00,NORMAL,NORMAL
MOV-000052,UP14AF3804,ENTRY,Coimbatore,2026-09-22T19:06:00,2026-09-22T19:36:00,NORMAL,NORMAL
MOV-000053,UP11AY0646,ENTRY,Vellore,2026-09-22T13:33:00,2026-09-22T14:03:00,NORMAL,NORMAL
MOV-000054,AP07AD5555,ENTRY,Madurai,2026-09-22T16:44:00,2026-09-22T17:14:00,NORMAL,NORMAL
MOV-000055,AR02A7116,ENTRY,Coimbatore,2026-09-22T07:38:00,2026-09-22T08:08:00,NORMAL,NORMAL
MOV-000056,WB02AH4655,ENTRY,Tirunelveli,2026-09-22T12:15:00,2026-09-22T12:45:00,NORMAL,NORMAL
MOV-000057,UP14AX9754,ENTRY,Trichy,2026-09-22T18:56:00,2026-09-22T19:26:00,NORMAL,NORMAL
MOV-000058,BR32PA6558,ENTRY,Madurai,2026-09-22T08:23:00,2026-09-22T08:53:00,NORMAL,NORMAL
MOV-000059,PB10CK5005,ENTRY,Salem,2026-09-22T11:40:00,2026-09-22T12:10:00,NORMAL,NORMAL
MOV-000060,AP16DP7065,ENTRY,Thanjavur,2026-09-22T10:18:00,2026-09-22T10:48:00,NORMAL,NORMAL
MOV-000061,MP07CB8897,ENTRY,Trichy,2026-09-22T10:20:00,2026-09-22T10:50:00,NORMAL,NORMAL
MOV-000062,MH12GR862,ENTRY,Tirunelveli,2026-09-22T14:34:00,2026-09-22T15:04:00,NORMAL,NORMAL
MOV-000063,JK03D7750,ENTRY,Tirunelveli,2026-09-22T16:03:00,2026-09-22T16:33:00,NORMAL,NORMAL
MOV-000064,JH02AD2533,ENTRY,Trichy,2026-09-22T15:22:00,2026-09-22T15:52:00,NORMAL,NORMAL
MOV-000065,AR01C5723,ENTRY,Vellore,2026-09-22T07:37:00,2026-09-22T08:07:00,NORMAL,NORMAL
MOV-000066,CH01AL4920,ENTRY,Trichy,2026-09-22T10:37:00,2026-09-22T11:07:00,NORMAL,NORMAL
MOV-000067,OR14U8730,ENTRY,Madurai,2026-09-22T16:24:00,2026-09-22T16:54:00,NORMAL,NORMAL
MOV-000068,TR03F0375,ENTRY,Madurai,2026-09-22T09:43:00,2026-09-22T10:13:00,NORMAL,NORMAL
MOV-000069,TN02AU9295,ENTRY,Madurai,2026-09-22T09:59:00,2026-09-22T10:29:00,NORMAL,NORMAL
MOV-000070,AP31DF2833,ENTRY,Vellore,2026-09-22T19:08:00,2026-09-22T19:38:00,NORMAL,NORMAL
MOV-000071,DN0901438,ENTRY,Coimbatore,2026-09-22T16:57:00,2026-09-22T17:27:00,NORMAL,NORMAL
MOV-000072,JH05Y9636,ENTRY,Salem,2026-09-22T12:43:00,2026-09-22T13:13:00,NORMAL,NORMAL
MOV-000073,PY01CG2929,ENTRY,Chennai,2026-09-22T09:14:00,2026-09-22T09:44:00,NORMAL,NORMAL
MOV-000074,BR01BE0777,ENTRY,Tirunelveli,2026-09-22T19:21:00,2026-09-22T19:51:00,NORMAL,NORMAL
MOV-000075,CG04HV7009,ENTRY,Vellore,2026-09-22T12:21:00,2026-09-22T12:51:00,NORMAL,NORMAL
MOV-000076,HR26DJ8832,ENTRY,Coimbatore,2026-09-22T11:22:00,2026-09-22T11:52:00,NORMAL,NORMAL
MOV-000077,PB10CQ0006,ENTRY,Madurai,2026-09-22T19:22:00,2026-09-22T19:52:00,NORMAL,NORMAL
MOV-000078,DL8CZ7230,ENTRY,Tirunelveli,2026-09-22T14:36:00,2026-09-22T15:06:00,NORMAL,NORMAL
MOV-000079,CG04HC4887,ENTRY,Madurai,2026-09-22T15:58:00,2026-09-22T16:28:00,NORMAL,NORMAL
