image_id,image_filename,image_path,xml_filename,xml_path,license_number,state_code,width,height,depth,xmin,xmax,ymin,ymax,xml_license_number,status
WB18,WB18.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB18.jpg,WB18.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB18.xml,WB06J2192,WB,272,364,3,73,166,231,252,WB06J2192,OK
TR6,TR6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TR6.jpg,TR6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TR6.xml,TR01BG0365,TR,272,125,3,105,152,93,104,TR01BG0365,OK
AS8,AS8.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AS8.jpg,AS8.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AS8.xml,AS01AM1419,AS,272,363,3,97,164,242,258,AS01AM1419,OK
HP21,HP21.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HP21.jpg,HP21.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HP21.xml,HP40B8992,HP,272,544,3,76,169,290,327,HP40B8992,OK
PB23,PB23.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB23.jpg,PB23.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB23.xml,PB02CC7299,PB,272,153,3,122,163,112,123,PB02CC7299,OK
MH18,MH18.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MH18.jpg,MH18.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MH18.xml,MH12HN4507,MH,272,544,3,104,165,319,336,MH12HN4507,OK
PB15,PB15.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB15.jpg,PB15.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB15.xml,PB30L5010,PB,272,484,3,99,171,293,310,PB30L5010,OK
TS1,TS1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TS1.jpg,TS1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TS1.xml,TS08FQ1262,TS,272,363,3,89,183,267,287,TS08FQ1262,OK
TS14,TS14.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TS14.jpg,TS14.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TS14.xml,TS36H6578,TS,271,481,3,86,160,279,296,TS36H6578,OK
ML28,ML28.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML28.jpg,ML28.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML28.xml,ML08C8061,ML,272,363,3,72,158,234,255,ML08C8061,OK
