vehicle_id,registration_number,state_code,vehicle_type,commercial_vehicle,manufacturer,model,registered_colour,operator,permit_status,permit_expiry,fitness_status,fitness_expiry,insurance_status,insurance_expiry,puc_status,puc_expiry,fastag_id,fastag_status,registry_status,chassis_reference,engine_reference,source_image_id,source_image_path,data_source
VH-000001,WB06J2192,WB,Bike,NO,Bajaj,Pulsar,Grey,Tamil Fleet Services,VALID,2028-03-23,EXPIRED,2026-04-14,VALID,2027-07-14,EXPIRED,2026-09-19,FT-000001,ACTIVE,ACTIVE,CHASSIS-SYN-000001,ENGINE-SYN-000001,WB18,dataset\NumberPlate_Annotated_Dataset-main\Images\WB18.jpg,SYNTHETIC_PROTOTYPE
VH-000002,TR01BG0365,TR,Bike,NO,Bajaj,Pulsar,White,GreenLine Transport,VALID,2027-03-26,VALID,2028-04-08,VALID,2027-07-25,VALID,2027-02-03,FT-000002,ACTIVE,ACTIVE,CHASSIS-SYN-000002,ENGINE-SYN-000002,TR6,dataset\NumberPlate_Annotated_Dataset-main\Images\TR6.jpg,SYNTHETIC_PROTOTYPE
VH-000003,AS01AM1419,AS,Truck,YES,Ashok Leyland,AVTR,White,National Route Logistics,VALID,2029-02-04,VALID,2027-02-20,VALID,2027-07-03,VALID,2026-11-26,FT-000003,ACTIVE,ACTIVE,CHASSIS-SYN-000003,ENGINE-SYN-000003,AS8,dataset\NumberPlate_Annotated_Dataset-main\Images\AS8.jpg,SYNTHETIC_PROTOTYPE
VH-000004,HP40B8992,HP,Car,NO,Maruti,Ertiga,Black,Sri Lakshmi Logistics,VALID,2029-03-10,VALID,2027-04-23,VALID,2026-12-30,VALID,2027-01-08,FT-000004,ACTIVE,ACTIVE,CHASSIS-SYN-000004,ENGINE-SYN-000004,HP21,dataset\NumberPlate_Annotated_Dataset-main\Images\HP21.jpg,SYNTHETIC_PROTOTYPE
VH-000005,PB02CC7299,PB,Car,NO,Maruti,Ertiga,White,Chennai Cargo,VALID,2028-05-04,VALID,2027-10-15,VALID,2027-04-10,VALID,2027-07-18,FT-000005,ACTIVE,ACTIVE,CHASSIS-SYN-000005,ENGINE-SYN-000005,PB23,dataset\NumberPlate_Annotated_Dataset-main\Images\PB23.jpg,SYNTHETIC_PROTOTYPE
VH-000006,MH12HN4507,MH,Truck,YES,Tata,Prima,Yellow,Sri Lakshmi Logistics,VALID,2028-09-12,VALID,2027-03-07,VALID,2027-07-10,VALID,2027-02-06,FT-000006,ACTIVE,ACTIVE,CHASSIS-SYN-000006,ENGINE-SYN-000006,MH18,dataset\NumberPlate_Annotated_Dataset-main\Images\MH18.jpg,SYNTHETIC_PROTOTYPE
VH-000007,PB30L5010,PB,Truck,YES,Ashok Leyland,AVTR,White,Sri Lakshmi Logistics,VALID,2026-11-28,VALID,2028-02-17,VALID,2026-11-22,VALID,2026-12-15,FT-000007,ACTIVE,ACTIVE,CHASSIS-SYN-000007,ENGINE-SYN-000007,PB15,dataset\NumberPlate_Annotated_Dataset-main\Images\PB15.jpg,SYNTHETIC_PROTOTYPE
VH-000008,TS08FQ1262,TS,Car,NO,Maruti,Ertiga,Silver,Tamil Fleet Services,VALID,2026-11-27,VALID,2028-09-16,VALID,2026-12-12,EXPIRED,2026-07-10,FT-000008,INACTIVE,ACTIVE,CHASSIS-SYN-000008,ENGINE-SYN-000008,TS1,dataset\NumberPlate_Annotated_Dataset-main\Images\TS1.jpg,SYNTHETIC_PROTOTYPE
VH-000009,TS36H6578,TS,Bike,NO,Bajaj,Pulsar,White,National Route Logistics,VALID,2028-02-09,VALID,2028-07-31,VALID,2027-04-06,VALID,2027-09-19,FT-000009,ACTIVE,ACTIVE,CHASSIS-SYN-000009,ENGINE-SYN-000009,TS14,dataset\NumberPlate_Annotated_Dataset-main\Images\TS14.jpg,SYNTHETIC_PROTOTYPE
VH-000010,ML08C8061,ML,Bike,NO,Bajaj,Pulsar,Yellow,Coastal Commercials,VALID,2028-06-09,VALID,2028-01-08,VALID,2027-07-31,VALID,2027-03-12,FT-000010,BLACKLISTED,ACTIVE,CHASSIS-SYN-000010,ENGINE-SYN-000010,ML28,dataset\NumberPlate_Annotated_Dataset-main\Images\ML28.jpg,SYNTHETIC_PROTOTYPE
