case_id,rank,registration_number,risk_score,risk_tier,status,reasons,evidence
TR-2026-00001,1,MP07CB8897,80,CRITICAL,VERIFY,"Commercial permit expired | FASTag status: INACTIVE | Colour mismatch: registered Yellow, detected Red",ANPR ANPR-000701: colour mismatch
TR-2026-00002,2,AP16CH9545,65,HIGH,VERIFY,"Fitness certificate expired | Movement anomaly: Chennai to Coimbatore, 498 km in 0.33 hours (1494.0 km/h)",Movement MOV-000613
TR-2026-00003,3,DL8CAU6883,65,HIGH,VERIFY,"Fitness certificate expired | Movement anomaly: Chennai to Coimbatore, 498 km in 0.33 hours (1494.0 km/h)",Movement MOV-000608
TR-2026-00004,4,HR26DJ8832,60,HIGH,VERIFY,"Fitness certificate expired | FASTag status: BLACKLISTED | Colour mismatch: registered White, detected Red",ANPR ANPR-000716: colour mismatch
TR-2026-00005,5,ML1032811,60,HIGH,VERIFY,"Commercial permit expired | FASTag identity mismatch: registered FT-000100, observed FT-FAKE-0020 | FASTag transaction identity mismatch",FASTag FT-TXN-000620
TR-2026-00006,6,AP07AD5555,50,MEDIUM,VERIFY,"Fitness certificate expired | Vehicle type mismatch: registered Bike, detected Truck",ANPR ANPR-000694: vehicle type mismatch
TR-2026-00007,7,AR02A7116,50,MEDIUM,VERIFY,"FASTag status: INACTIVE | Vehicle type mismatch: registered Truck, detected Bike",ANPR ANPR-000695: vehicle type mismatch
TR-2026-00008,8,CG04HC4887,50,MEDIUM,VERIFY,"Commercial permit expired | Colour mismatch: registered Black, detected Red",ANPR ANPR-000719: colour mismatch
TR-2026-00009,9,GJ01RM3413,50,MEDIUM,VERIFY,"Commercial permit expired | Colour mismatch: registered Yellow, detected Red",ANPR ANPR-000720: colour mismatch
TR-2026-00010,10,HP12H7917,50,MEDIUM,VERIFY,"FASTag status: BLACKLISTED | Vehicle type mismatch: registered Car, detected Bike",ANPR ANPR-000683: vehicle type mismatch
TR-2026-00011,11,HP23A6365,50,MEDIUM,VERIFY,"FASTag status: KYC_PENDING | FASTag identity mismatch: registered FT-000094, observed FT-FAKE-0014 | FASTag transaction identity mismatch",FASTag FT-TXN-000614
TR-2026-00012,12,AP2D4014,40,MEDIUM,VERIFY,"FASTag identity mismatch: registered FT-000098, observed FT-FAKE-0018 | FASTag transaction identity mismatch",FASTag FT-TXN-000618
TR-2026-00013,13,AP5CG6320,40,MEDIUM,VERIFY,"FASTag identity mismatch: registered FT-000081, observed FT-FAKE-0001 | FASTag transaction identity mismatch",FASTag FT-TXN-000601
TR-2026-00014,14,AP99YY7777,40,MEDIUM,VERIFY,No registry match,ANPR event ANPR-000805
TR-2026-00015,15,AS12S6951,40,MEDIUM,VERIFY,"FASTag identity mismatch: registered FT-000084, observed FT-FAKE-0004 | FASTag transaction identity mismatch",FASTag FT-TXN-000604
TR-2026-00016,16,BR01BE0777,40,MEDIUM,VERIFY,"FASTag status: KYC_PENDING | Colour mismatch: registered Red, detected Blue",ANPR ANPR-000714: colour mismatch
TR-2026-00017,17,DL1CS8739,40,MEDIUM,VERIFY,"FASTag identity mismatch: registered FT-000093, observed FT-FAKE-0013 | FASTag transaction identity mismatch",FASTag FT-TXN-000613
TR-2026-00018,18,DL3CBS5881,40,MEDIUM,VERIFY,Commercial permit expired | Fitness certificate expired,
TR-2026-00019,19,DL6CJ8404,40,MEDIUM,VERIFY,Commercial permit expired,
TR-2026-00020,20,DL8CZ7230,40,MEDIUM,VERIFY,"FASTag status: KYC_PENDING | Colour mismatch: registered Yellow, detected Red",ANPR ANPR-000718: colour mismatch
TR-2026-00021,21,GA01E5947,40,MEDIUM,VERIFY,"FASTag identity mismatch: registered FT-000097, observed FT-FAKE-0017 | FASTag transaction identity mismatch",FASTag FT-TXN-000617
TR-2026-00022,22,HR26DM2296,40,MEDIUM,VERIFY,"FASTag identity mismatch: registered FT-000086, observed FT-FAKE-0006 | FASTag transaction identity mismatch",FASTag FT-TXN-000606
TR-2026-00023,23,JH10BV1496,40,MEDIUM,VERIFY,"FASTag identity mismatch: registered FT-000091, observed FT-FAKE-0011 | FASTag transaction identity mismatch",FASTag FT-TXN-000611
